company,year,award_category,industry_category,industry,country,state_province,certification_status,b_corp_profile
Turnstile Tours,2016,Community,"Restaurant, Hospitality & Travel",Travel & Leisure,United States,New York,Certified,https://bcorporation.net/directory/turnstile-tours
"Scoutcomms, Inc.",2016,Customers,Business Products & Services,Marketing & Communications Services,United States,Virginia,Certified,https://bcorporation.net/directory/scoutcomms-inc
Portafolio Verde,2016,Overall; Customers,Business Products & Services,Sustainability Consulting,Colombia,Antioquia,Certified,https://bcorporation.net/directory/portafolio-verde
"Abacus Wealth Partners, LLC",2016,Overall; Customers; Workers,Financial Services,Investment Advisor,United States,California,Certified,https://bcorporation.net/directory/abacus-wealth-partners-llc
Sarona Asset Management Inc,2016,Customers,Financial Services,Equity Investor - Emerging Markets,Canada,Ontario,Certified,https://bcorporation.net/directory/sarona-asset-management-inc
Sunrise Banks,2016,Overall; Customers,Financial Services,Credit Provider,United States,Minnesota,Certified,https://bcorporation.net/directory/sunrise-banks
Virginia Community Capital,2016,Overall; Community,Financial Services,Credit Provider,United States,Virginia,Certified,https://bcorporation.net/directory/virginia-community-capital
Bridges Fund Management,2016,Overall; Community; Customers,Financial Services,Equity Investor - Developed Markets,United Kingdom,London,Certified,https://bcorporation.net/directory/bridges-fund-management
Iroquois Valley Farmland REIT,2016,Overall,Financial Services,Equity Investor - Developed Markets,United States,Illinois,Certified,https://bcorporation.net/directory/iroquois-valley-farms-llc
Sonen Capital LLC,2016,Customers,Financial Services,Investment Advisor,United States,California,Certified,https://bcorporation.net/directory/sonen-capital-llc
Avante,2016,Overall; Customers,Financial Services,Other,Brazil,Sao Paulo,Certified,https://bcorporation.net/directory/avante
ClimateCare,2016,Overall; Customers,Energy & Environmental Services,Environmental Remediation,United Kingdom,Oxfordshire,Certified,https://bcorporation.net/directory/climatecare
"South Mountain Company, Inc.",2016,Overall; Environment; Workers,Building,Architecture/Design/Planning,United States,Massachusetts,Certified,https://bcorporation.net/directory/south-mountain-company-inc
GreenStep Solutions Inc.,2016,Environment,Business Products & Services,Sustainability Consulting,Canada,British Columbia,Certified,https://bcorporation.net/directory/greenstep-solutions-inc
TriCiclos Brasil,2016,Overall; Environment; Workers,Consumer Products & Services,Other,Chile,Santiago,Certified,https://bcorporation.net/directory/triciclos-brasil
Recollective Consulting,2016,Environment,Building,Architecture/Design/Planning,Canada,British Columbia,Certified,https://bcorporation.net/directory/recollective-consulting
"New Belgium Brewing Co, Inc.",2016,Overall; Environment; Workers,Consumer Products & Services,Food & Beverage,United States,Colorado,Certified,https://bcorporation.net/directory/new-belgium-brewing-co-inc
YouGreen Cooperativa de Beneficiamento de Materiais Recicl�veis,2016,Overall; Environment; Workers,Consumer Products & Services,Other,Brazil,Sao Paulo,Certified,https://bcorporation.net/directory/yougreen-cooperativa-de-beneficiamento-de-materiais-recicl�veis
Technicians For Sustainability,2016,Environment,Energy & Environmental Services,Renewable Energy Generation & Installation,United States,Arizona,Certified,https://bcorporation.net/directory/technicians-sustainability
Metropolitan Group,2016,Customers,Business Products & Services,Nonprofit Consulting & Fundraising,United States,Oregon,Certified,https://bcorporation.net/directory/metropolitan-group
Realize Strategies,2016,Overall; Workers,Business Products & Services,Management and Financial Consulting,Canada,British Columbia,Certified,https://bcorporation.net/directory/realize-strategies
WakaWaka,2016,Overall,Business Products & Services,Machinery & Equipment,Netherlands,Noord-Holland,Certified,https://bcorporation.net/directory/wakawaka
